name,version,detected_license,source
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"aho-corasick","1.1.4","Unlicense OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"alloca","0.4.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"alsa","0.11.0","Apache-2.0/MIT","registry+https://github.com/rust-lang/crates.io-index"
"alsa-sys","0.4.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"anes","0.1.6","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"anstyle","1.0.14","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"anyhow","1.0.104","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"autocfg","1.5.1","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"bitflags","2.13.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"block2","0.6.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"bumpalo","3.20.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"bytemuck","1.25.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"byteorder-lite","0.1.0","Unlicense OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"bytes","1.12.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"cast","0.3.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"cc","1.4.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"cfg_aliases","0.2.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"cfg-if","1.0.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ciborium","0.2.2","Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ciborium-io","0.2.2","Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ciborium-ll","0.2.2","Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"clap","4.6.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"clap_builder","4.6.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"clap_derive","4.6.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"clap_lex","1.1.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"color_quant","1.1.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"combine","4.6.7","MIT","registry+https://github.com/rust-lang/crates.io-index"
"coreaudio-rs","0.14.2","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"cpal","0.18.1","Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crc32fast","1.5.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"criterion","0.8.2","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"criterion-plot","0.8.2","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"crossbeam-channel","0.5.16","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crossbeam-utils","0.8.22","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"crossterm","0.29.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"crossterm_winapi","0.9.1","MIT","registry+https://github.com/rust-lang/crates.io-index"
"crunchy","0.2.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"ctrlc","3.5.2","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"dasp_sample","0.11.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"dispatch2","0.3.1","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"document-features","0.2.12","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"either","1.17.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"equivalent","1.0.2","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"errno","0.3.14","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"fastrand","2.5.0","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"fdeflate","0.3.7","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"find-msvc-tools","0.1.9","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"flate2","1.1.9","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-core","0.3.33","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-task","0.3.33","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"futures-util","0.3.33","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"getrandom","0.4.3","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"gif","0.14.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"half","2.7.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"hashbrown","0.17.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"heck","0.5.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"image","0.25.10","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"indexmap","2.14.0","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"itertools","0.13.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"itoa","1.0.18","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni","0.22.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni-macros","0.22.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni-sys","0.3.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni-sys","0.4.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"jni-sys-macros","0.4.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"js-sys","0.3.103","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"libc","0.2.189","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"linux-raw-sys","0.12.1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"litrs","1.0.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"lock_api","0.4.14","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"log","0.4.33","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"mach2","0.6.0","BSD-2-Clause OR MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"memchr","2.8.3","Unlicense OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"mio","1.2.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"moxcms","0.8.1","BSD-3-Clause OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ndk","0.9.0","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ndk-context","0.1.1","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"ndk-sys","0.6.0+11769913","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"nix","0.31.3","MIT","registry+https://github.com/rust-lang/crates.io-index"
"num_enum","0.7.6","BSD-3-Clause OR MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"num_enum_derive","0.7.6","BSD-3-Clause OR MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"num-derive","0.4.2","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"num-traits","0.2.19","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"objc2","0.6.4","MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-audio-toolbox","0.3.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-avf-audio","0.3.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-core-audio","0.3.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-core-audio-types","0.3.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-core-foundation","0.3.2","Zlib OR Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-encode","4.1.0","MIT","registry+https://github.com/rust-lang/crates.io-index"
"objc2-foundation","0.3.2","MIT","registry+https://github.com/rust-lang/crates.io-index"
"once_cell","1.21.4","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"oorandom","11.1.5","MIT","registry+https://github.com/rust-lang/crates.io-index"
"page_size","0.6.0","MIT/Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"parking_lot","0.12.5","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"parking_lot_core","0.9.12","MIT OR Apache-2.0","registry+https://github.com/rust-lang/crates.io-index"
"pin-project-lite","0.2.17","Apache-2.0 OR MIT","registry+https://github.com/rust-lang/crates.io-index"
